time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-08 05:00:00,37.0,28.2,70.0,0.0,,297.0,3.4,,1016.5,,2.0
2024-01-08 06:00:00,37.9,28.0,67.0,0.0,,0.0,3.4,,1018.6,,2.0
2024-01-08 07:00:00,37.9,28.0,67.0,0.0,,280.0,4.7,,1020.1,,2.0
2024-01-08 08:00:00,37.9,28.0,67.0,0.0,,277.0,4.7,,1020.1,,1.0
2024-01-08 09:00:00,37.0,26.1,64.0,0.0,,0.0,0.0,,1021.3,,1.0
2024-01-08 10:00:00,37.0,24.8,61.0,0.0,,0.0,4.7,,1023.0,,1.0
2024-01-08 11:00:00,37.0,24.8,61.0,0.0,,313.0,4.7,,1023.0,,1.0
2024-01-08 12:00:00,37.0,27.1,67.0,0.0,,0.0,0.0,,1025.5,,2.0
2024-01-08 13:00:00,39.0,25.9,59.0,0.0,,0.0,5.8,,1027.0,,2.0
2024-01-08 14:00:00,39.0,25.9,59.0,0.0,,324.0,5.8,,1027.0,,1.0
2024-01-08 15:00:00,43.0,25.2,49.0,0.0,,323.0,4.7,,1028.4,,1.0
2024-01-08 16:00:00,45.0,24.3,44.0,0.0,,328.0,3.4,,1028.9,,1.0
2024-01-08 17:00:00,45.0,24.3,44.0,0.0,,314.0,3.4,,1028.9,,1.0
2024-01-08 18:00:00,46.0,24.3,42.0,0.0,,0.0,0.0,,1028.8,,1.0
2024-01-08 19:00:00,48.0,26.1,42.0,0.0,,260.0,8.1,,1029.0,,1.0
2024-01-08 20:00:00,48.0,26.1,42.0,0.0,,260.0,8.1,,1029.0,,1.0
2024-01-08 21:00:00,44.1,27.1,51.0,0.0,,0.0,3.4,,1030.1,,3.0
2024-01-08 22:00:00,43.0,25.2,49.0,0.0,,160.0,3.4,,1031.1,,2.0
2024-01-08 23:00:00,43.0,25.2,49.0,0.0,,160.0,3.4,,1031.1,,1.0
2024-01-09 00:00:00,41.0,28.2,60.0,0.0,,240.0,5.8,,1031.7,,1.0
2024-01-09 01:00:00,39.9,28.0,62.0,0.0,,250.0,4.7,,1031.4,,2.0
2024-01-09 02:00:00,39.9,28.0,62.0,0.0,,250.0,4.7,,1031.4,,2.0
2024-01-09 03:00:00,39.0,30.0,70.0,0.0,,220.0,3.4,,1030.6,,1.0
2024-01-09 04:00:00,37.9,28.0,67.0,0.0,,250.0,3.4,,1030.4,,2.0
2024-01-09 05:00:00,37.9,28.0,67.0,0.0,,250.0,3.4,,1030.4,,1.0
2024-01-09 06:00:00,37.9,28.9,70.0,0.0,,220.0,3.4,,1030.4,,3.0
2024-01-09 07:00:00,37.9,30.0,73.0,0.0,,0.0,0.0,,1030.6,,5.0
2024-01-09 08:00:00,37.9,30.0,73.0,0.0,,0.0,0.0,,1030.6,,5.0
2024-01-09 09:00:00,39.0,28.9,67.0,0.0,,0.0,0.0,,1029.3,,5.0
2024-01-09 10:00:00,39.9,30.9,70.0,0.0,,50.0,5.8,,1029.2,,5.0
2024-01-09 11:00:00,39.9,30.9,70.0,0.0,,50.0,5.8,,1029.2,,3.0
2024-01-09 12:00:00,39.9,32.0,73.0,0.0,,50.0,8.1,,1026.9,,3.0
2024-01-09 13:00:00,42.1,34.0,73.0,0.0,,50.0,5.8,,1026.9,,3.0
2024-01-09 14:00:00,42.1,34.0,73.0,0.0,,90.0,5.8,,1026.9,,3.0
2024-01-09 15:00:00,44.1,34.2,68.0,0.0,,110.0,10.3,,1025.1,,3.0
2024-01-09 16:00:00,43.0,36.0,76.0,0.0,,110.0,10.3,,1022.0,,3.0
2024-01-09 17:00:00,43.0,36.0,76.0,0.02,,60.0,15.0,,1022.0,,8.0
2024-01-09 18:00:00,44.1,37.9,79.0,0.028,,70.0,15.0,,1019.2,,8.0
2024-01-09 19:00:00,44.1,39.9,85.0,0.059,,60.0,16.1,,1015.1,,9.0
2024-01-09 20:00:00,44.1,39.9,85.0,0.059,,70.0,19.7,,1015.1,,9.0
2024-01-09 21:00:00,46.0,43.0,89.0,0.051,,60.0,19.7,,1009.9,,9.0
2024-01-09 22:00:00,46.0,43.0,89.0,0.035,,60.0,17.2,,1009.9,,8.0
2024-01-09 23:00:00,48.2,46.6,94.0,0.134,,60.0,19.7,,1007.0,,9.0
2024-01-10 00:00:00,51.1,48.0,89.0,0.177,,90.0,12.7,,1000.7,,9.0
2024-01-10 01:00:00,52.0,48.9,89.0,0.091,,100.0,16.1,,997.1,,9.0
2024-01-10 02:00:00,52.0,48.9,89.0,0.138,,100.0,16.1,,997.1,,9.0
2024-01-10 03:00:00,53.1,51.1,93.0,0.173,,140.0,16.1,,994.0,,9.0
2024-01-10 04:00:00,54.0,52.0,93.0,0.15,,0.0,0.0,,989.7,,9.0
2024-01-10 05:00:00,53.6,52.0,94.0,0.291,,120.0,9.2,,989.7,,9.0
2024-01-10 06:00:00,54.0,52.0,93.0,0.409,,180.0,10.3,,986.3,,9.0
2024-01-10 07:00:00,54.0,52.0,93.0,0.075,,180.0,10.3,,986.3,,9.0
2024-01-10 08:00:00,53.6,52.0,94.0,0.024,,250.0,7.0,,983.6,,8.0
2024-01-10 09:00:00,53.1,51.1,93.0,0.0,,250.0,13.9,,982.7,,3.0
